What is your sex?,What is your year?,What is your course?,What was your GWA in the previous semester at PLM?,What was your Senior High School strand?,What was your first choice upon applying to PLM?2,What was your second choice upon applying to PLM?3,What was your third choice upon applying to PLM?2,I do important decisions on my own,I considered the background of the school in choosing a particular course,I consider the  number of potential job opportunities as an important factor       ,I consider the level of salary offered by potential job opportunities as an important factor,Who decided for you to choose your course?, I find my skills aligned with my current course, I find my  interests aligned with my current course       ,I find my hobbies aligned with my current course,Who inspire or motivated in your choice of course?,I am having the best college experience       ,I find the class size affecting my interest in the course,I find the   class size stimulating in my learning experience,I am in a  group of friends in my current course who shares the same interests with me       2,I can easily get affected/influenced by my friends’ decision       3,How many are you in your section/block?, I find my expectations match with my current course’s curriculum content       , I like my current course       ,                  I can easily learn lessons from the   subjects that I am taking right now              , I feel like the subjects offered in my current course is lacking       ,I had trouble  choosing my course upon applying in PLM       ,I find my  entire educational experience at this course excellent       ,I am satisfied with the set of instructors in my current course       ,I consider my college offering an effective academic advising       , I worry that I am not good/performing   enough for my subjects       ,I experienced  an effective course advising in high school,"If you could start over again, would you choose the same course you are attending now?","If you will be given a chance to shift to a different course, would you grab the opportunity?"
Male,Third Year,BSIT,1.51-2.00,STEM,BSIT,BSCS,BSTM,Strongly Agree,Agree,Agree,Agree,Myself,N/A,Agree,N/A,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSIT,1.51-2.00,STEM,BSIT,BSCS,BSTM,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,No,Yes
Female,Second Year,BSIT,2.01-2.50,TVL,BSIT,BSCS,BSTM,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Disagree,Family,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,31-50,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Yes
Male,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSHM,BSTM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Yes,No
Female,Second Year,BSIT,1.00-1.50,BAM,BS_Arch,BSIT,BSTM,Agree,Strongly Agree,Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,31-50,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,Yes
Female,Second Year,BSIT,1.00-1.50,BAM,BSA,BSIT,BSTM,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSCE,1.51-2.00,TVL,BSCE,BSMath,BSEd_Math,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Strongly Disagree,Disagree,N/A,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Yes,No
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSEd_Eng,BSEd_Math,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Yes,No
Male,First Year,BSECE,N/A,STEM,BSME,BSECE,BSCS,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,N/A,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,No,Yes
Male,Second Year,BSIT,2.01-2.50,HESS,BSIT,BSEd_SS,BSEd_SS,Agree,Agree,Agree,Agree,Myself,Disagree,Disagree,Agree,Family,Disagree,Agree,Agree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSCS,1.00-1.50,TVL,BSCS,BSIT,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,N/A,Agree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,N/A,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSBA_FM,1.00-1.50,BAM,BSBA_FM,BSBA_MM,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Disagree,Teachers,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,31-50,Agree,Agree,N/A,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,No,No
Male,First Year,BSCpE,N/A,STEM,BSCpE,BSIT,BSBA_BE,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Myself,Agree,Disagree,Agree,Agree,Disagree,51-70,Agree,Agree,N/A,Disagree,N/A,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Yes,Yes
Male,Second Year,BSIT,1.51-2.00,STEM,BSIT,BSCS,BSEd_Eng,Agree,Disagree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Female,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSEd_Fil,BSEd_Eng,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Agree,Agree,Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Yes,Yes
Female,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSEd_Eng,BSEd_Fil,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Disagree,Disagree,31-50,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Yes,Yes
Male,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSCE,BSCE,Strongly Agree,Agree,Strongly Agree,Agree,Myself,N/A,N/A,N/A,Myself,Agree,Agree,Agree,Agree,Agree,51-70,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Yes,No
Male,Second Year,BSCS,1.00-1.50,STEM,BSCS,BSCpE,BSIT,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,N/A,N/A,Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Yes,No
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSCpE,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Teachers,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Yes,No
Female,Third Year,BSTM,1.51-2.00,BAM,BSTM,BSHM,BSBA_MM,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,N/A,N/A,Strongly Disagree,Strongly Disagree,31-50,Disagree,Strongly Agree,N/A,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSA,1.00-1.50,BAM,BSA,BSA,BSA,Strongly Agree,Agree,Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Teachers,Agree,N/A,N/A,Agree,Disagree,31-50,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,N/A,Agree,Yes,No
Female,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSA,BSBA_HRM,Agree,N/A,Strongly Agree,Strongly Agree,Myself,Strongly Disagree,Disagree,Strongly Disagree,Teachers,Strongly Disagree,N/A,N/A,Agree,Agree,31-50,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Female,Second Year,BSCE,1.51-2.00,STEM,BSCE,BECEd,BAC,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Strongly Agree,Agree,Family,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,31-50,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,No,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BAC,Agree,Strongly Agree,Disagree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Agree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BAC,Agree,Strongly Agree,Disagree,Strongly Disagree,Family,Agree,Agree,Disagree,Family,Disagree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,No,Yes
Male,Third Year,BSIT,1.51-2.00,HESS,BPA,BSIT,BMMP,Agree,Agree,Agree,Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Female,Second Year,BSCHE,2.01-2.50,STEM,BSBio,BSCHE,BS_Arch,Agree,Agree,Strongly Agree,Strongly Agree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Strongly Disagree,Agree,Agree,Disagree,Disagree,31-50,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,No,Yes
Male,Second Year,BSCHE,1.51-2.00,STEM,BSCHE,BSCE,BSMath,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Teachers,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Yes,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSECE,BS_Arch,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Disagree,Agree,Family,Agree,Strongly Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Male,Third Year,BSIT,2.01-2.50,SA,BSME,BSIT,BS_Arch,Agree,Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Agree,Family,Disagree,Agree,Agree,Agree,Disagree,31-50,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,No,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSCHE,BSA,Agree,Agree,Strongly Agree,Strongly Agree,Family,Strongly Disagree,Disagree,Strongly Disagree,Family,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,31-50,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Female,First Year,BSIT,N/A,TVL,BSIT,BSCpE,BSCS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Disagree,51-70,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,N/A,Agree,Yes,No
Male,Second Year,BSHM,1.51-2.00,TVL,BSIT,BSHM,BSEE,Agree,Disagree,Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Disagree,Agree,Disagree,51-70,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,No,No
Male,Third Year,BSCE,1.00-1.50,BAM,BSCE,BSMath,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,No
Female,Second Year,BSIT,1.51-2.00,STEM,BSIT,BS_Arch,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Family,Agree,Disagree,Agree,Family,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,31-50,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,No,Yes
Female,Second Year,BSIT,1.51-2.00,STEM,BSIT,BS_Arch,BSA,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Disagree,Disagree,Family,Agree,Disagree,Disagree,Agree,Agree,31-50,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSPsy,BSBio,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Disagree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSBA_BE,1.51-2.00,BAM,BSA,BSBA_FM,BSBA_BE,Agree,Agree,Agree,Agree,Family,Agree,N/A,Disagree,Family,N/A,Agree,Agree,Disagree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_FM,Agree,Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,No
Female,Third Year,BSCE,2.01-2.50,STEM,BSCE,BSME,BSMath,Strongly Agree,Disagree,Agree,Disagree,Myself,Disagree,Agree,Disagree,Teachers,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,31-50,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Yes,No
Female,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSCpE,BSME,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Teachers,N/A,Disagree,Agree,Agree,Agree,31-50,Agree,N/A,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Yes,No
Male,First Year,BSECE,N/A,BAM,BSBA_MM,BSTM,BSBA_FM,Agree,Strongly Agree,Agree,Strongly Agree,Family,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSIT,1.51-2.00,BAM,BSIT,BSCS,BSBA_FM,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Disagree,Disagree,Family,Agree,Disagree,Disagree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,No,No
Male,Second Year,BSCS,1.00-1.50,TVL,BSCS,BSIT,BSBA_HRM,Disagree,Disagree,Agree,Agree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,31-50,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,No,Yes
Female,Third Year,BSIT,2.01-2.50,TVL,BSN,BSCpE,BSBA_HRM,Agree,Agree,Strongly Agree,Agree,Family,Agree,Agree,Agree,Family,Disagree,Agree,Agree,Disagree,Disagree,31-50,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,No,Yes
Female,Second Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_MM,Disagree,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Family,Disagree,Disagree,Disagree,Agree,Agree,31-50,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,No,Yes
Female,Second Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_MM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Disagree,Strongly Agree,Agree,31-50,Disagree,Agree,N/A,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSBA_FM,1.00-1.50,BAM,BSBA_FM,BSA,BSBA_MM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Disagree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSBA_MM,1.51-2.00,BAM,BSA,BSBA_MM,BSBA_MM,Agree,Strongly Agree,Agree,Agree,Family,Disagree,Disagree,Disagree,Family,Agree,Disagree,Disagree,Disagree,Disagree,31-50,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSCE,2.51-3.00,STEM,BSCE,BSIT,BSBA_MM,Agree,Agree,Agree,Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSBio,BSCHE,Agree,Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,N/A,Agree,Agree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,Yes
Male,First Year,BSMfgE,N/A,STEM,BSCE,BS_Arch,BSCHE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,No,No
Female,Second Year,BSCE,1.00-1.50,STEM,BSCE,BSECE,BSChem,Agree,Strongly Agree,Agree,Strongly Agree,Family,Agree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,No,Yes
Female,Second Year,BSA,1.00-1.50,STEM,BSA,BSPsy,BSCE,Strongly Disagree,Agree,Agree,Agree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,31-50,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSCE,BSCE,Agree,Agree,Agree,Agree,Family,Disagree,Agree,Disagree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSPsy,BSCE,Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Disagree,Strongly Disagree,Family,Agree,Strongly Agree,Agree,Agree,Agree,31-50,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,No,Yes
Female,Second Year,BS_ENTRE,2.51-3.00,HESS,BSTM,BSSW,BSN,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,N/A,N/A,Disagree,Disagree,51-70,Agree,Agree,Agree,Disagree,N/A,Agree,Agree,Strongly Disagree,Agree,Agree,No,Yes
Female,Third Year,BSCpE,1.00-1.50,STEM,BSN,BSPT,BSCpE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,N/A,Agree,Agree,Disagree,Agree,31-50,Disagree,Agree,N/A,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Male,First Year,BSEE,N/A,STEM,BSEE,BSECE,BSCpE,Agree,Agree,N/A,N/A,Family,Agree,Agree,Agree,Family,Disagree,Agree,Agree,Agree,Agree,31-50,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,No,Yes
Male,Second Year,BSIT,1.51-2.00,STEM,BSCE,BSCHE,BSCpE,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,31-50,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSIT,1.51-2.00,STEM,BSIT,BSCS,BSCpE,Agree,Agree,Strongly Agree,Agree,Family,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Yes,No
Female,Third Year,BSBA_FM,1.00-1.50,BAM,BSA,BSBA_FM,BSEd_Eng,Agree,Agree,Agree,Strongly Agree,Myself,Agree,Strongly Agree,Disagree,Teachers,Strongly Disagree,Agree,Agree,Agree,Disagree,31-50,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,First Year,BS_ENTRE,N/A,STEM,BSCpE,BSBA_MM,BSBA_HRM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,51-70,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,No,No
Female,Third Year,BSIT,1.51-2.00,TVL,BSIT,BSTM,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,No,Yes
Male,Second Year,BSME,1.51-2.00,STEM,BSME,BSEE,BSCpE,Disagree,Disagree,Agree,Agree,Family,Disagree,Agree,Disagree,Family,Disagree,Disagree,Agree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSME,1.00-1.50,STEM,BSCE,BSME,BSCpE,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,31-50,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSCpE,2.01-2.50,TVL,BSCpE,BSIT,BSCS,Agree,Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Agree,Agree,Agree,Disagree,31-50,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Yes,Yes
Female,Second Year,BSIT,1.51-2.00,STEM,BSIT,BS_Arch,BSCS,Agree,Agree,Agree,Agree,Family,Agree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Agree,Disagree,31-50,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,No,Yes
Female,Second Year,BSIT,1.51-2.00,STEM,BSIT,BSCpE,BSCS,Agree,Disagree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Disagree,Disagree,31-50,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,No,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSCpE,BSCS,Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Disagree,Family,N/A,Disagree,Agree,Agree,Disagree,31-50,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,No,Yes
Female,First Year,BSIT,N/A,TVL,BSIT,BSCpE,BSCS,Agree,Agree,Agree,Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Female,Second Year,BSIT,1.00-1.50,STEM,BSN,BSIT,BSCS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Agree,Disagree,Agree,Disagree,Disagree,31-50,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Yes,Yes
Female,Second Year,BSCE,1.51-2.00,STEM,BSA,BSCE,BSEE,Agree,Disagree,Strongly Agree,Strongly Agree,Family,Disagree,Agree,Disagree,Family,Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,No,No
Female,Second Year,BSME,1.00-1.50,STEM,BSCE,BSME,BSEE,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,Yes
Female,First Year,BSCS,N/A,STEM,BSCS,BSIT,BSCpE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,51-70,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Yes,No
Female,Third Year,BSIT,1.00-1.50,TVL,BSA,BSIT,BS_ENTRE,Agree,Strongly Agree,Strongly Agree,Agree,Family,Agree,N/A,Disagree,Family,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,31-50,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
